movies id,title,year,rating,genre,scaled_rating
885331,Gadar 2,2023.0,6.6,Drama,0.66
496316,Baaghi 2,2018.0,5.9,Drama,0.5900000000000001
15917,Devdas,2002.0,7.5,Drama,0.75
25868,Aladin,2009.0,6.3,Drama,0.63
370665,Dilwale,2015.0,6.6,Drama,0.66
14134,Main Hoon Na,2004.0,6.9,Drama,0.6900000000000001
336203,Masaan,2015.0,7.0,Drama,0.7000000000000001
1178521,Fire of Love: RED,2023.0,0.0,Romance,0.0
530154,Lust Stories,2018.0,6.3,Drama,0.63
466550,Drive,2019.0,5.1,Drama,0.51
4435,Aśoka,2001.0,6.4,Drama,0.6400000000000001
17478,Dhoom,2004.0,6.3,Drama,0.63
135718,OMG: Oh My God!,2012.0,7.2,Drama,0.7200000000000001
277432,Happy New Year,2014.0,6.1,Drama,0.61
20360,Namastey London,2007.0,6.1,Drama,0.61
314389,Baby,2015.0,6.7,Drama,0.67
538858,Tumbbad,2018.0,7.6,Drama,0.76
1211406,Kaisi Ye Dor,2023.0,0.0,Drama,0.0
381418,Sanam Teri Kasam,2016.0,7.9,Drama,0.79
73582,Bodyguard,2011.0,5.2,Drama,0.52
13986,Dil To Pagal Hai,1997.0,6.9,Drama,0.6900000000000001
1018228,Chor Nikal Ke Bhaga,2023.0,7.2,Drama,0.7200000000000001
432527,Padmaavat,2018.0,6.9,Drama,0.6900000000000001
560964,Junglee,2019.0,6.7,Drama,0.67
441909,Tiger Zinda Hai,2017.0,6.1,Drama,0.61
814215,Sam Bahadur,2023.0,8.5,Drama,0.8500000000000001
377985,Fan,2016.0,6.3,Drama,0.63
280690,Kick,2014.0,5.7,Drama,0.5700000000000001
714338,Bulbbul,2020.0,6.7,Drama,0.67
348892,Bajrangi Bhaijaan,2015.0,7.8,Drama,0.78
15774,Swades,2004.0,7.2,Drama,0.7200000000000001
412090,Jolly LLB 2,2017.0,6.9,Drama,0.6900000000000001
767377,Dhamaka,2021.0,6.9,Drama,0.6900000000000001
15772,Guru,2007.0,6.8,Drama,0.68
393445,Ae Dil Hai Mushkil,2016.0,6.4,Drama,0.6400000000000001
1198725,Mast Mein Rehne Ka,2023.0,7.0,Drama,0.7000000000000001
15864,Bachna Ae Haseeno,2008.0,6.0,Drama,0.6000000000000001
7913,Rang De Basanti,2006.0,7.1,Drama,0.71
31977,Black,2005.0,7.7,Drama,0.77
44977,Dhoom 3,2013.0,6.0,Drama,0.6000000000000001
17501,Don,2006.0,7.0,Drama,0.7000000000000001
132316,Jab Tak Hai Jaan,2012.0,7.1,Drama,0.71
848116,Rocky Aur Rani Kii Prem Kahaani,2023.0,6.2,Drama,0.6200000000000001
664332,Gangubai Kathiawadi,2022.0,7.4,Drama,0.7400000000000001
251626,Hasee Toh Phasee,2014.0,6.5,Drama,0.65
391629,Baaghi,2016.0,6.4,Drama,0.6400000000000001
24827,Ajab Prem Ki Ghazab Kahani,2009.0,6.1,Drama,0.61
658412,Ludo,2020.0,7.4,Drama,0.7400000000000001
802403,Ajeeb Daastaans,2021.0,6.5,Drama,0.65
61400,Thank You,2011.0,5.3,Drama,0.53
363343,Raees,2017.0,6.7,Drama,0.67
645484,Dil Bechara,2020.0,6.8,Drama,0.68
339274,Tamasha,2015.0,6.6,Drama,0.66
505175,Love per Square Foot,2018.0,6.7,Romance,0.67
480,Monsoon Wedding,2001.0,6.8,Drama,0.68
276928,Humpty Sharma Ki Dulhania,2014.0,6.3,Drama,0.63
283589,Bang Bang!,2014.0,6.2,Drama,0.6200000000000001
222951,B.A. Pass,2012.0,5.7,Drama,0.5700000000000001
20294,Welcome,2007.0,6.8,Drama,0.68
14752,Dil Chahta Hai,2001.0,6.9,Drama,0.6900000000000001
352205,Parched,2015.0,7.4,Drama,0.7400000000000001
20495,Mujhse Shaadi Karogi,2004.0,6.4,Drama,0.6400000000000001
67109,Delhi Belly,2011.0,7.0,Drama,0.7000000000000001
496328,Sanju,2018.0,7.2,Drama,0.7200000000000001
404604,Mom,2017.0,7.6,Drama,0.76
441875,Toilet: A Love Story,2017.0,6.8,Romance,0.68
599925,Shershaah,2021.0,7.4,Drama,0.7400000000000001
381070,Loev,2016.0,5.3,Drama,0.53
11807,Jab We Met,2007.0,7.3,Drama,0.73
491625,Gully Boy,2019.0,7.4,Drama,0.7400000000000001
27298,Partner,2007.0,5.5,Drama,0.55
589615,Raat Akeli Hai,2020.0,6.8,Drama,0.68
524288,Period. End of Sentence.,2018.0,7.9,Drama,0.79
611359,Tu Jhoothi Main Makkaar,2023.0,6.4,Drama,0.6400000000000001
374173,Kapoor & Sons,2016.0,7.0,Drama,0.7000000000000001
84858,Agneepath,2012.0,6.4,Drama,0.6400000000000001
204435,Krrish 3,2013.0,5.7,Drama,0.5700000000000001
33124,1942: A Love Story,1994.0,6.0,Romance,0.6000000000000001
601643,Ghost Stories,2020.0,5.0,Horror,0.5
